时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,0,1,1,0.00,73,61,60,-0.2,-28,0.07,0,0,2,0,472,0,-7.4619374,100,0.0,0,100,3,3,0.39,0,0,0,0,90.0,1.2,
0.12,110,2,2,0.00,73,67,59,-0.0,0,0.96,0,1264,1,12,1680,936,0.16639541,100,17.0,0,100,2,3,1.81,0,7,-1,-6,10.9,0.7,
0.20,110,3,3,0.00,73,68,59,-0.0,0,0.96,0,1433,1,14,1776,1044,1.2828016,100,17.0,0,100,2,3,1.91,0,-2,-1,-9,11.0,0.6,
0.30,110,3,3,0.00,73,68,59,-0.0,0,0.96,0,1558,1,15,1843,1124,1.5055643,100,17.0,0,100,2,3,1.98,0,7,-2,-9,11.1,0.6,
0.40,110,4,4,0.00,73,69,60,0.0,0,1.0,0,1708,1,17,1930,1230,1.6974459,100,17.0,0,100,2,3,2.06,0,5,-4,-9,11.6,0.5,
0.50,110,5,5,0.00,73,69,60,-0.0,0,0.96,0,1850,1,18,2017,1343,1.4992449,100,17.0,0,100,2,3,2.13,0,7,-6,-9,11.3,0.6,
0.63,110,6,6,0.00,73,70,60,-0.0,0,0.96,0,1997,2,39,2121,1484,2.5996273,100,17.0,0,100,2,3,2.19,0,-8,-5,-9,11.3,0.6,
0.73,110,6,6,0.01,73,71,60,0.0,0,1.0,0,2097,2,41,2205,1603,2.1988049,100,17.0,0,100,2,3,2.22,0,11,-5,-8,11.7,0.6,
0.86,110,8,8,0.01,73,71,60,0.0,1,1.0,0,2188,2,43,2301,1743,2.7941935,100,17.0,0,100,2,3,2.24,0,3,-5,-9,11.7,0.6,
0.96,110,9,9,0.01,73,72,60,-0.0,1,0.95,0,2241,3,67,2376,1856,2.6591933,100,17.0,0,100,2,3,2.25,0,6,-4,-9,11.4,0.6,
1.10,110,10,10,0.01,73,73,60,-0.0,1,0.95,0,2280,3,68,2458,1983,3.2532156,100,17.0,0,100,2,3,2.25,0,0,-4,-9,11.5,0.7,
1.20,110,12,12,0.01,73,73,61,0.0,1,0.99,0,2295,4,91,2519,2079,3.0332139,100,17.0,0,100,2,3,2.24,0,14,-3,-9,11.8,0.7,
1.30,110,13,13,0.01,73,74,61,-0.0,1,0.97,0,2297,4,91,2574,2166,3.5132635,100,17.0,0,100,2,3,2.23,0,5,-3,-9,11.7,0.7,
1.43,110,15,15,0.01,73,75,61,-0.0,1,0.98,0,2287,5,114,2633,2258,3.7940671,100,17.0,0,100,2,3,2.21,0,24,-3,-9,11.8,0.7,
1.53,110,16,16,0.01,73,76,61,-0.0,1,0.98,0,2271,6,136,2675,2324,3.5022328,100,17.0,0,100,2,3,2.19,0,31,-2,-10,11.8,0.7,
1.63,110,17,17,0.01,73,76,61,0.0,2,0.98,0,2079,7,145,2706,2375,4.0255346,100,17.0,0,100,1,3,1.77,0,43,-2,-10,11.8,0.8,
1.76,110,19,19,0.02,73,77,61,0.0,2,0.98,0,2111,8,168,2736,2419,4.160516,100,17.0,0,100,1,3,1.80,0,52,-2,-10,11.8,0.8,
1.86,110,21,21,0.02,73,78,61,0.0,2,0.98,0,2135,9,192,2759,2454,3.759654,100,17.0,0,100,1,3,1.82,0,44,-2,-10,11.8,0.8,
2.00,110,23,23,0.02,73,78,61,0.0,3,0.98,0,2161,10,216,2786,2622,4.4121265,100,18.3,0,100,1,3,1.84,0,63,-2,-10,11.8,0.9,
2.10,110,25,25,0.02,73,79,61,0.0,3,0.98,0,2166,11,238,2791,2759,4.3042717,100,19.6,0,100,1,3,1.85,0,56,-3,-11,11.8,0.9,
2.19,110,26,26,0.02,73,80,61,0.0,4,0.97,0,2162,13,281,2786,2890,5.002621,100,21.1,0,100,1,3,1.85,0,47,-36,-14,11.9,0.9,
2.33,110,29,29,0.02,73,80,61,-0.0,4,0.97,1,2141,15,321,2764,2937,5.266875,100,21.8,0,100,1,3,1.83,0,7,31,-13,11.9,1.0,
2.43,110,31,31,0.02,73,81,61,-0.0,4,0.98,0,2130,15,319,2752,2867,4.306066,100,21.3,0,100,1,3,1.82,0,-19,47,-13,11.9,1.1,
2.56,110,33,33,0.03,73,82,62,0.0,5,0.98,0,2118,16,338,2741,2769,5.755877,100,20.5,0,100,1,3,1.81,0,-66,52,-17,11.9,1.2,
2.66,110,34,35,0.03,73,82,62,0.0,3,0.98,0,2115,16,338,2738,2739,3.4748895,100,20.3,0,100,1,3,1.80,0,-77,52,-19,11.8,1.3,
