时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,0,1,1,0.00,64,61,60,-0.3,-44,0.02,0,0,3,0,471,0,-10.420321,100,0.0,0,100,3,3,0.39,0,-7,0,0,90.0,1.0,
0.10,110,0,0,0.00,64,65,59,0.0,0,0.99,0,685,0,0,1245,516,0.0,100,17.0,0,100,3,3,1.69,0,0,0,0,11.0,0.4,
0.20,110,1,1,0.00,64,65,59,0.0,0,0.98,0,771,0,0,1311,571,0.47277358,100,17.0,0,100,3,3,1.75,0,-14,8,-4,10.9,0.5,
0.33,110,1,1,0.00,64,65,59,0.0,0,0.98,0,906,0,0,1408,659,0.6237604,100,17.0,0,100,3,3,1.84,0,-16,2,-5,10.8,1.0,
0.44,110,1,1,0.00,64,66,59,-0.0,0,0.97,0,1000,0,0,1468,715,0.6852613,100,17.0,0,100,3,3,1.91,0,1,0,-6,10.8,0.9,
0.55,110,2,2,0.00,64,66,59,-0.0,0,0.96,0,1148,0,0,1561,808,1.0271214,100,17.0,0,100,3,3,2.01,0,8,-2,-5,10.8,0.9,
0.65,110,2,2,0.00,64,67,59,0.0,0,0.99,0,1274,0,0,1643,895,0.96220356,100,17.0,0,100,3,3,2.08,0,11,-1,-6,11.7,0.8,
0.79,110,3,3,0.00,64,67,59,0.0,0,1.0,0,1369,1,13,1739,1002,1.2843082,100,17.0,0,100,2,3,1.87,0,5,0,-5,11.7,0.7,
0.88,110,3,3,0.00,64,68,59,-0.0,0,0.96,0,1517,1,15,1822,1098,1.2825613,100,17.0,0,100,2,3,1.96,0,7,1,-6,11.1,0.6,
1.02,110,4,4,0.00,64,69,59,-0.0,0,0.96,0,1704,1,17,1925,1225,1.700661,100,17.0,0,100,2,3,2.06,0,-2,1,-6,11.2,0.5,
1.14,110,5,5,0.00,64,69,59,-0.0,0,0.96,0,1868,1,18,2030,1361,2.0376935,100,17.0,0,100,2,3,2.14,0,7,1,-6,11.3,0.5,
1.25,110,6,6,0.00,64,70,60,-0.0,0,0.96,0,2014,2,40,2134,1502,1.8388984,100,17.0,0,100,2,3,2.19,0,-1,1,-7,11.4,0.5,
1.35,110,6,6,0.01,64,71,60,-0.0,0,0.96,0,2091,2,41,2201,1597,2.145479,100,17.0,0,100,2,3,2.22,0,4,1,-7,11.4,0.5,
1.47,110,8,8,0.01,64,71,60,-0.0,1,0.95,0,2185,2,43,2297,1738,4.2132044,100,17.0,0,100,2,3,2.24,0,2,1,-6,10.9,0.5,
1.57,110,11,11,0.01,64,72,60,0.0,2,0.98,0,2239,3,67,2372,1842,7.0837536,100,17.0,0,100,2,3,2.25,0,12,1,-7,11.2,0.4,
1.67,110,14,14,0.01,64,72,60,0.0,2,0.97,0,2274,4,90,2441,1941,6.4683666,100,17.0,0,100,2,3,2.25,0,18,1,-7,11.4,0.4,
1.79,110,17,17,0.01,64,73,60,-0.0,4,0.98,0,2293,5,114,2505,2032,9.734814,100,17.0,0,100,2,3,2.24,0,30,1,-6,11.5,0.4,
1.90,110,21,21,0.02,64,74,60,-0.0,5,0.98,0,2298,7,160,2572,2129,8.649666,100,17.0,0,100,2,3,2.23,0,33,1,-5,11.6,0.4,
2.00,110,24,24,0.02,64,75,61,0.0,4,0.98,0,2291,8,183,2622,2199,6.347019,100,17.0,0,100,2,3,2.21,0,13,1,-5,11.7,0.4,
2.10,110,27,27,0.02,64,75,61,-0.0,6,0.98,0,2280,10,228,2658,2248,8.749405,100,17.0,0,100,2,3,2.20,0,32,1,-5,11.7,0.4,
2.22,110,31,31,0.02,64,76,61,-0.0,7,0.98,0,2075,12,249,2700,2306,9.044184,100,17.0,0,100,1,3,1.76,0,25,1,-5,11.8,0.3,
2.34,110,35,35,0.03,64,77,61,0.0,7,0.98,0,2108,14,295,2731,2339,7.7158613,100,17.0,0,100,1,3,1.79,0,25,0,-6,11.8,0.3,
2.46,110,38,38,0.03,64,78,61,0.0,9,0.98,0,2133,15,320,2756,2364,9.250592,100,17.0,0,100,1,3,1.82,0,18,0,-6,11.8,0.3,
2.57,110,41,41,0.03,64,78,61,0.0,9,0.98,0,2156,17,366,2779,2441,8.175271,100,17.5,0,100,1,3,1.84,0,11,0,-8,11.8,0.3,
2.67,110,45,45,0.04,64,79,61,0.0,9,0.98,0,2169,20,433,2793,2623,7.4490657,100,18.8,0,100,1,3,1.85,0,19,0,-10,11.8,0.3,
2.80,110,49,49,0.04,64,80,61,0.0,15,0.98,0,2169,23,499,2792,2834,11.52525,100,20.8,0,100,1,3,1.86,0,6,0,-13,11.8,0.3,
2.90,110,53,53,0.04,64,80,61,0.0,10,0.98,0,2157,26,560,2778,2901,7.052237,100,21.7,0,100,1,3,1.84,0,-1,0,-11,11.8,0.3,
3.03,110,57,57,0.05,64,81,61,0.0,18,0.97,0,2137,28,598,2758,2847,11.802753,100,21.5,0,100,1,3,1.82,0,28,0,-8,11.9,0.3,
3.13,110,61,61,0.05,64,82,61,0.0,14,0.97,0,2127,29,616,2747,2751,8.661957,100,20.8,0,100,1,3,1.81,0,8,0,-7,11.9,0.4,
3.27,110,65,65,0.05,64,82,61,0.0,17,0.97,0,2121,30,636,2741,2661,9.742191,100,20.3,0,100,1,3,1.81,0,-1,0,-8,11.9,0.4,
3.37,110,69,69,0.06,64,83,62,0.0,16,0.98,0,2119,31,657,2739,2639,8.39287,100,20.3,0,100,1,3,1.81,0,19,0,-8,11.9,0.4,
