时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,0,0,0,0.00,63,105,60,-0.0,0,0.98,0,0,0,0,435,0,0.0,100,0.0,0,-65535,3,3,0.92,0,-4,0,25,2.9,71.1,
0.16,110,5,5,0.00,63,108,60,0.0,0,0.98,0,2127,2,42,2372,2001,0.3457757,100,26.0,0,-65535,1,3,1.80,0,7,1,-4,10.8,0.1,
0.26,110,6,6,0.00,63,108,60,0.0,0,0.98,0,2290,2,45,2493,2105,2.8052194,100,26.0,0,-65535,1,3,1.86,0,4,1,-4,11.0,0.1,
0.38,110,8,8,0.01,63,109,60,0.0,1,0.99,0,2446,3,73,2632,2189,3.2778428,100,26.0,0,-65535,1,3,1.92,0,-1,1,-4,10.6,0.1,
0.49,110,11,11,0.01,63,109,60,-0.0,2,0.98,0,2531,4,101,2739,2295,8.79061,100,26.0,0,-65535,1,3,1.95,0,18,1,-3,10.8,0.1,
0.59,110,14,14,0.01,63,110,60,-0.0,3,0.98,0,2578,5,128,2833,2377,7.776087,100,26.0,0,-65535,1,3,1.97,0,37,1,-3,11.0,0.0,
0.71,110,18,18,0.01,63,111,60,0.0,4,0.98,0,2595,6,155,2928,2446,8.952712,100,26.0,0,-65535,1,3,1.97,0,56,1,-3,11.1,0.0,
0.81,110,21,21,0.02,63,111,60,0.0,4,0.98,0,2589,7,181,2980,2478,7.899873,100,26.0,0,-65535,1,3,1.97,0,56,1,-2,11.1,0.0,
0.94,110,26,26,0.02,63,112,61,-0.0,7,0.97,0,2561,9,230,3050,2519,10.790818,100,26.0,0,-65535,1,3,1.96,0,67,1,-2,11.3,0.0,
1.04,110,29,29,0.02,63,112,61,-0.0,5,0.97,0,2536,11,279,3086,2541,6.583505,100,26.0,0,-65535,1,3,1.95,0,68,1,-2,11.3,0.1,
1.17,110,33,33,0.03,63,113,61,-0.0,9,0.98,0,2509,12,301,3119,2563,10.903744,100,26.0,0,-65535,1,3,1.93,0,64,1,-3,11.4,0.1,
1.28,110,37,37,0.03,63,114,61,0.0,8,0.99,0,2487,14,348,3138,2578,8.300293,100,26.0,0,-65535,1,3,1.92,0,65,0,-3,11.4,0.1,
1.38,110,40,40,0.03,63,114,61,0.0,8,0.98,0,2467,15,370,3152,2587,7.442994,100,26.1,0,-65535,1,3,1.91,0,66,0,-3,11.4,0.1,
1.51,110,44,44,0.04,63,115,61,0.0,13,0.99,0,2447,17,416,3161,2564,10.924609,100,26.6,0,-65535,1,3,1.90,0,61,0,-5,11.4,0.1,
1.61,110,48,48,0.04,63,116,62,0.0,11,0.99,0,2430,18,437,3161,2542,8.266057,100,27.2,0,-65535,1,3,1.89,0,55,0,-9,11.4,0.1,
1.73,110,51,51,0.04,63,116,62,0.0,12,1.0,0,2422,20,484,3153,2544,9.060468,100,28.0,0,-65535,1,3,1.88,0,57,0,-10,11.4,0.1,
1.83,110,55,55,0.04,63,117,62,0.0,12,0.99,0,2412,21,506,3137,2538,8.029763,100,29.0,0,-65535,1,3,1.87,0,59,0,-8,11.4,0.1,
1.96,110,59,59,0.05,63,118,62,0.0,14,0.97,0,2402,23,552,3101,2516,9.109639,100,30.7,0,-65535,1,3,1.86,0,66,0,-4,11.4,0.1,
2.06,110,62,62,0.05,63,118,62,0.0,14,0.97,0,2401,24,576,3075,2496,8.159518,100,31.7,0,-65535,1,3,1.85,0,65,0,-4,11.5,0.1,
2.19,110,67,67,0.05,63,119,62,0.0,19,0.96,0,2393,25,598,3020,2449,10.560067,100,33.5,0,-65535,1,3,1.84,0,65,0,-5,11.5,0.1,
2.29,110,70,70,0.06,63,119,62,0.0,12,0.97,0,2388,26,621,2979,2409,6.2688694,100,34.6,0,-65535,1,3,1.83,0,68,0,-5,11.5,0.1,
2.43,110,74,74,0.06,63,120,62,0.0,21,0.98,0,2383,27,643,2932,2361,10.393239,100,35.4,0,-65535,1,3,1.82,0,57,0,-4,11.4,0.0,
2.53,110,77,77,0.06,63,120,63,0.0,16,0.99,0,2380,27,642,2898,2326,7.583718,100,35.8,0,-65535,1,3,1.82,0,64,0,-4,11.5,0.0,
2.64,110,80,80,0.07,63,121,63,0.0,19,0.96,0,2379,28,666,2869,2296,8.536896,100,35.9,0,-65535,1,3,1.82,0,58,0,-5,11.5,0.0,
2.74,110,83,83,0.07,63,121,63,0.0,17,0.99,0,2380,29,690,2845,2273,7.576529,100,35.9,0,-65535,1,3,1.83,0,64,0,-5,11.5,0.0,
2.84,110,86,87,0.07,63,122,63,-0.0,20,0.97,0,2382,30,714,2827,2255,8.552829,100,35.9,0,-65535,1,3,1.83,0,66,0,-4,11.5,0.0,
2.97,110,90,90,0.07,63,122,63,-0.0,21,0.97,0,2387,31,740,2810,2241,8.435147,100,35.8,0,-65535,1,3,1.83,0,61,0,-5,11.5,0.0,
3.08,110,93,93,0.08,63,123,63,0.0,19,1.0,0,2391,32,765,2800,2232,7.4751186,100,35.7,0,-65535,1,3,1.84,0,65,0,-5,11.5,0.0,
3.21,110,98,98,0.08,63,123,63,0.0,22,0.98,0,2395,33,790,2789,2224,8.477876,100,35.8,0,-65535,1,3,1.84,0,69,0,-5,11.5,0.0,
3.31,110,100,100,0.08,63,124,63,0.0,20,0.99,0,2397,34,815,2783,2219,7.429579,100,35.9,0,-65535,1,3,1.85,0,75,0,-5,11.5,0.0,
3.44,110,104,104,0.09,63,124,64,0.0,28,0.96,0,2399,35,839,2773,2211,9.745757,100,36.1,0,-65535,1,3,1.85,0,75,0,-6,11.5,0.1,
3.54,110,107,108,0.09,63,125,64,0.0,17,0.93,1,2399,36,863,2766,2205,5.8698063,100,36.3,0,-65535,1,3,1.85,0,75,0,-6,11.5,0.1,
3.67,110,111,111,0.09,63,125,64,0.0,30,1.01,0,2397,37,887,2756,2196,9.773318,100,36.4,0,-65535,1,3,1.85,0,74,-1,-4,11.5,0.1,
3.78,110,114,114,0.09,63,126,64,0.0,23,0.97,0,2395,38,910,2748,2190,7.383108,100,36.6,0,-65535,1,3,1.85,0,76,0,-4,11.5,0.1,
3.91,110,118,118,0.10,63,126,64,0.0,26,0.98,0,2393,39,933,2739,2183,8.157982,100,36.6,0,-65535,1,3,1.85,0,73,0,-5,11.6,0.1,
