时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,1,1,0.00,72,145,60,-0.4,-73,0.0,0,0,1,0,480,0,-11.562134,100,0.0,0,100,2,3,0.85,0,0,0,0,90.0,0.4,
0.05,110,5,5,0.00,72,147,59,0.0,0,1.0,0,1532,2,34,1476,1848,0.45120868,100,20.0,0,100,2,3,1.51,0,0,0,0,4.9,0.1,
0.15,110,6,6,0.00,72,147,59,0.0,0,1.0,0,1655,2,40,1524,1967,1.413844,100,20.0,0,100,2,3,1.56,0,0,0,0,4.9,0.1,
0.28,110,6,6,0.01,72,148,59,0.0,0,1.0,0,1901,3,51,1611,2197,2.020311,100,20.0,0,100,2,3,1.66,0,0,0,0,4.9,0.1,
0.38,110,7,7,0.01,72,148,59,0.0,0,1.0,0,2091,3,61,1677,2379,1.3290529,100,20.0,0,100,2,3,1.73,0,0,0,0,4.9,0.1,
0.50,110,8,8,0.01,72,148,59,0.0,1,1.0,0,2304,3,74,1746,2575,2.4588015,100,20.0,0,100,2,3,1.81,0,0,0,0,4.9,0.1,
0.60,110,9,9,0.01,72,148,59,0.0,0,1.0,0,2540,4,89,1818,2788,1.9814097,100,20.0,0,100,2,3,1.90,0,0,0,0,4.9,0.1,
0.72,110,10,10,0.01,72,149,59,0.0,1,1.0,0,2854,4,107,1908,3065,2.0712256,100,20.0,0,100,2,3,2.01,0,0,0,0,4.9,0.1,
0.85,110,11,11,0.01,72,149,59,0.0,1,1.0,0,3198,4,136,2002,3370,3.2425108,100,20.0,0,100,2,3,2.14,0,0,0,0,4.9,0.1,
0.96,110,12,12,0.01,72,149,60,0.0,1,1.0,0,3557,5,164,2100,3700,2.6066344,100,20.0,0,100,2,3,2.27,0,0,0,0,4.9,0.1,
1.07,110,13,13,0.01,72,150,60,0.0,1,1.0,0,3769,5,192,2167,3931,3.01049,100,20.0,0,100,2,3,2.34,0,0,0,0,4.9,0.1,
1.16,110,15,15,0.01,72,150,60,0.0,1,1.0,0,3998,6,226,2249,4224,3.5461268,100,20.0,0,100,2,3,2.40,0,0,0,0,4.9,0.1,
1.30,110,17,17,0.01,72,151,60,0.0,2,1.0,0,4242,7,276,2359,4628,3.878967,100,20.0,0,100,2,3,2.46,0,0,0,0,4.9,0.1,
1.40,110,18,18,0.01,72,151,60,0.0,2,1.0,0,4343,7,317,2418,4849,3.6884959,100,20.0,0,100,2,3,2.48,0,0,0,0,4.9,0.1,
1.50,110,19,19,0.02,72,151,60,0.0,2,1.0,0,4430,8,364,2486,5110,4.3726864,100,20.0,0,100,2,3,2.49,0,0,0,0,4.8,0.1,
1.63,110,22,22,0.02,72,152,60,0.0,3,1.0,0,4006,11,428,2568,5431,4.7069798,100,20.0,0,100,1,3,1.72,0,0,0,0,4.8,0.1,
1.73,110,23,23,0.02,72,152,60,0.0,3,1.0,0,4104,11,473,2600,5551,4.303755,100,20.0,0,100,1,3,1.75,0,0,0,0,4.8,0.2,
1.86,110,26,26,0.02,72,153,60,0.0,4,0.99,0,4268,13,544,2655,5756,5.863758,100,20.0,0,100,1,3,1.81,0,0,0,0,4.8,0.2,
1.97,110,28,28,0.02,72,153,60,0.0,3,0.99,0,4377,14,590,2692,5898,3.6609912,100,20.0,0,100,1,3,1.85,0,0,0,0,4.9,0.2,
2.07,110,29,29,0.02,72,153,60,-0.0,4,0.99,0,4461,14,644,2721,6007,5.2339535,100,20.0,0,100,1,3,1.88,0,0,0,0,4.9,0.2,
2.20,110,32,32,0.03,72,154,60,-0.0,5,1.0,0,4598,16,726,2769,6190,6.3397884,100,20.0,0,100,1,3,1.93,0,0,0,0,4.9,0.2,
2.30,110,34,34,0.03,72,154,60,0.0,4,1.0,0,4685,17,778,2802,6313,3.9391813,100,20.0,0,100,1,3,1.97,0,0,0,0,4.9,0.2,
2.43,110,36,36,0.03,72,155,60,0.0,7,1.0,0,4780,18,863,2839,6452,6.630119,100,20.0,0,100,1,3,2.01,0,0,0,0,4.9,0.2,
2.53,110,38,38,0.03,72,155,61,0.0,5,0.99,0,4853,19,928,2868,6560,5.1343966,100,20.0,0,100,1,3,2.04,0,0,0,0,4.9,0.2,
2.66,110,41,41,0.03,72,156,61,-0.0,7,0.99,0,4934,20,1012,2900,6705,5.912471,100,20.1,0,100,1,3,2.08,0,0,0,0,4.9,0.2,
2.76,110,43,43,0.04,72,156,61,-0.0,6,1.0,0,4986,22,1090,2924,6853,5.3087287,100,20.4,0,100,1,3,2.11,0,0,0,0,4.9,0.2,
2.90,110,46,46,0.04,72,157,61,0.0,8,1.01,0,5037,23,1189,2946,7040,6.2120357,100,21.0,0,100,1,3,2.14,0,0,0,0,4.9,0.3,
3.00,110,48,48,0.04,72,157,61,0.0,8,1.0,0,5061,25,1275,2960,7185,5.680331,100,21.6,0,100,1,3,2.15,0,0,0,0,4.9,0.3,
3.10,110,51,51,0.04,72,157,61,0.0,9,0.99,0,5078,26,1357,2968,7297,6.4084744,100,22.3,0,100,1,3,2.16,0,0,0,0,4.9,0.3,
3.23,110,53,53,0.04,72,158,61,0.0,10,0.99,0,5094,28,1446,2972,7357,6.602928,100,23.4,0,100,1,3,2.17,0,0,0,0,4.9,0.3,
3.33,110,56,56,0.05,72,158,61,-0.0,9,0.99,0,5084,30,1513,2970,7372,5.806104,100,24.4,0,100,1,3,2.17,0,0,0,0,4.9,0.3,
3.43,110,58,58,0.05,72,159,61,0.0,11,1.0,0,5072,31,1579,2963,7380,6.519091,100,25.4,0,100,1,3,2.16,0,0,0,0,4.9,0.3,
3.56,110,61,61,0.05,72,159,61,0.0,11,1.0,0,5040,32,1625,2949,7244,6.520494,100,26.8,0,100,1,3,2.15,0,0,0,0,4.9,0.3,
3.66,110,63,63,0.05,72,160,61,0.0,10,0.99,0,5006,32,1629,2934,6997,5.588329,100,27.9,0,100,1,3,2.13,0,0,0,0,4.9,0.3,
3.80,110,66,66,0.05,72,160,62,0.0,11,0.99,0,4946,32,1560,2909,6441,5.905498,100,29.2,0,100,1,3,2.10,0,0,0,0,4.9,0.3,
3.90,110,68,68,0.06,72,160,62,0.0,9,1.0,0,4913,32,1557,2894,6236,4.9163585,100,29.8,0,100,1,3,2.09,0,0,0,0,4.9,0.3,
4.03,110,70,71,0.06,72,161,62,-0.0,13,0.99,0,4853,32,1536,2867,5918,6.340973,100,30.7,0,100,1,3,2.05,0,0,0,0,4.9,0.2,
4.13,110,72,72,0.06,72,161,62,-0.0,7,1.0,0,4797,32,1549,2846,5845,3.6195955,100,31.1,0,100,1,3,2.03,0,0,0,0,4.9,0.2,
4.27,110,75,75,0.06,72,162,62,-0.0,12,1.0,0,4727,33,1584,2820,5771,5.9433303,100,31.3,0,100,1,3,2.00,0,0,0,0,4.9,0.1,
4.36,110,76,76,0.06,72,162,62,-0.0,9,1.0,0,4675,34,1608,2799,5718,4.41158,100,31.3,0,100,1,3,1.98,0,0,0,0,4.9,0.1,
4.50,110,79,79,0.06,72,162,62,0.0,11,1.0,0,4609,37,1696,2775,5861,5.1339254,100,31.0,0,100,1,3,1.95,0,0,0,0,4.9,0.1,
4.60,110,80,81,0.07,72,163,62,0.0,11,0.98,0,4556,39,1775,2755,5992,4.7007766,100,30.6,0,100,1,3,1.93,0,0,0,0,4.9,0.1,
4.73,110,83,83,0.07,72,163,62,-0.0,12,1.01,0,4488,42,1919,2731,6294,5.343445,100,29.9,0,100,1,3,1.91,0,0,0,0,4.9,0.0,
4.83,110,85,85,0.07,72,164,62,0.0,12,1.01,0,4430,45,2020,2710,6466,4.9925103,100,29.2,0,100,1,3,1.88,0,0,0,0,4.9,0.0,
4.96,110,88,88,0.07,72,164,62,0.0,14,0.99,0,4348,48,2079,2682,6463,5.721585,100,28.0,0,100,1,3,1.85,0,0,0,0,4.9,0.0,
5.06,110,89,89,0.07,72,164,62,0.0,12,0.98,0,4312,48,2103,2669,6392,4.9534845,100,27.3,0,100,1,3,1.84,0,0,0,0,4.9,0.0,
5.20,110,92,92,0.08,72,165,62,-0.0,17,1.01,0,4255,50,2135,2649,6289,6.548874,100,25.8,0,100,1,3,1.82,0,0,0,0,4.9,0.1,
5.30,110,94,94,0.08,72,165,62,0.0,10,1.0,0,4231,50,2100,2642,6082,3.8475611,100,24.6,0,100,1,3,1.81,0,0,0,0,4.9,0.1,
5.40,110,96,96,0.08,72,165,62,0.0,14,0.99,0,4229,49,2067,2641,5868,5.1593213,100,23.6,0,100,1,3,1.81,0,0,0,0,4.9,0.1,
5.53,110,98,98,0.08,72,166,62,0.0,16,1.0,0,4266,46,1970,2654,5452,5.698601,100,21.8,0,100,1,3,1.82,0,0,0,0,4.9,0.1,
5.65,110,100,100,0.08,72,166,63,-0.0,11,1.0,0,4328,44,1898,2675,5168,3.9487588,100,20.5,0,100,1,3,1.84,0,0,0,0,4.9,0.1,
5.75,110,101,101,0.08,72,166,63,0.0,11,1.0,0,4413,43,1897,2704,5084,3.803386,100,20.0,0,100,1,3,1.87,0,0,0,0,4.9,0.1,
5.88,110,104,104,0.08,72,167,63,0.0,13,1.0,0,4530,44,1986,2744,5225,4.479561,100,20.0,0,100,1,3,1.91,0,0,0,0,4.9,0.2,
