时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,1,1,0.00,63,95,60,-0.4,0,0.0,0,0,0,0,470,0,0.0028848113,100,0.0,0,-65535,1,3,0.51,0,0,0,0,90.0,0.6,
0.06,110,3,3,0.00,63,101,60,0.0,0,0.99,0,1270,1,12,1659,906,0.23982061,100,18.5,0,-65535,2,3,2.13,0,0,0,-21,9.0,0.2,
0.17,110,4,4,0.00,63,102,60,0.0,0,0.99,0,1500,1,15,1791,1053,2.500902,100,18.5,0,-65535,2,3,2.27,0,0,0,-21,8.9,0.1,
0.26,110,5,5,0.00,63,103,60,0.0,0,0.99,0,1714,1,17,1912,1198,2.794046,100,18.5,0,-65535,2,3,2.39,0,0,0,-21,8.9,0.1,
0.40,110,6,6,0.01,63,104,60,0.0,0,0.99,0,1882,2,37,2019,1333,2.5390337,100,18.5,0,-65535,2,3,2.46,0,0,0,-21,8.9,0.1,
0.51,110,8,8,0.01,63,104,60,0.0,1,0.99,0,2021,2,40,2124,1474,3.8952985,100,18.5,0,-65535,2,3,2.51,0,0,0,-21,8.5,0.1,
0.63,110,12,12,0.01,63,105,60,0.0,2,0.98,0,2137,3,64,2225,1613,7.161922,100,18.5,0,-65535,2,3,2.54,0,0,0,-21,8.7,0.1,
0.75,110,15,15,0.01,63,106,60,0.0,3,0.99,0,2212,4,88,2305,1728,8.726291,100,18.5,0,-65535,2,3,2.55,0,0,0,-21,8.8,0.1,
0.86,110,19,19,0.02,63,107,60,0.0,4,0.99,0,2277,6,136,2396,1861,9.054828,100,18.5,0,-65535,2,3,2.55,0,0,0,-21,8.9,0.1,
0.96,110,22,22,0.02,63,107,60,0.0,4,0.99,0,2316,7,162,2465,1966,6.3749905,100,18.5,0,-65535,2,3,2.54,0,0,0,-21,9.0,0.1,
1.06,110,25,25,0.02,63,108,60,0.0,6,0.99,0,2168,8,173,2509,2035,9.197821,100,18.5,0,-65535,1,3,1.81,0,0,0,-21,9.0,0.1,
1.20,110,29,29,0.02,63,109,60,0.0,8,0.99,0,2248,10,224,2582,2146,11.103471,100,18.5,0,-65535,1,3,1.86,0,0,0,-21,9.1,0.1,
