时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,100,427,459,0.37,3370,126,60,-0.7,-1235,0.78,0,0,192,0,2403,0,-90.65697,100,0.0,0,-65535,1,3,1.42,0,-2,1,9,0.0,0.2,
0.04,110,426,458,0.37,3378,150,62,11.7,10,1.63,1,2308,79,1823,2655,1089,-0.11944851,100,34.3,0,-65535,1,3,1.58,0,0,1,-4,1.9,1.0,
0.15,110,426,458,0.37,3383,151,62,12.2,4,1.53,0,2311,81,1872,2665,1120,-0.6325994,100,34.3,0,-65535,1,3,1.59,0,-1,1,-2,1.7,0.9,
0.29,110,426,457,0.37,3389,152,62,12.8,3,1.39,0,2312,90,2081,2676,1240,-0.75346327,100,34.6,0,-65535,1,3,1.59,0,-2,1,0,1.4,0.9,
0.39,110,425,457,0.37,1034,152,62,13.2,8,1.32,0,2310,97,2241,2681,1340,-0.38565257,100,34.8,0,-65535,1,3,1.58,0,-2,1,0,1.3,0.8,
0.49,110,425,457,0.37,1035,153,62,13.4,8,1.27,0,2308,102,2354,2683,1408,-0.42424428,100,35.0,0,-65535,1,3,1.58,0,-2,1,0,1.2,0.8,
0.62,110,425,457,0.37,1037,154,63,13.6,8,1.21,0,2303,107,2464,2683,1473,-0.39310646,100,35.1,0,-65535,1,3,1.58,0,-3,1,0,1.0,0.7,
0.72,110,425,457,0.37,1038,155,63,13.8,11,1.18,0,2300,107,2461,2682,1474,-0.250402,100,35.1,0,-65535,1,3,1.58,0,-3,1,0,1.0,0.7,
0.85,110,425,457,0.37,1040,156,63,13.9,8,1.15,0,2298,105,2413,2682,1441,-0.42515212,100,35.0,0,-65535,1,3,1.57,0,-3,1,1,0.9,0.6,
0.95,110,425,457,0.37,1042,157,63,14.0,9,1.13,0,2298,102,2344,2683,1402,-0.38572457,100,34.9,0,-65535,1,3,1.57,0,-4,1,1,0.8,0.6,
1.05,110,424,456,0.37,1043,157,63,14.0,9,1.11,0,2298,99,2275,2685,1369,-0.40952873,100,34.8,0,-65535,1,3,1.57,0,-4,1,1,0.8,0.5,
1.19,110,424,456,0.37,1045,158,63,14.1,6,1.1,0,2299,98,2253,2688,1351,-0.6229113,100,34.7,0,-65535,1,3,1.58,0,-4,1,1,0.8,0.5,
1.28,110,424,456,0.37,1047,159,63,14.1,8,1.09,0,2300,98,2254,2691,1358,-0.48403403,100,34.6,0,-65535,1,3,1.58,0,-4,1,1,0.8,0.5,
