时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,293,306,0.25,-65535,61,42,-6.8,150,0.74,0,0,93,0,2100,0,17.890417,100,0.0,0,100,1,3,1.18,0,-95,0,0,1.2,0.0,
0.05,110,338,351,0.29,-65535,66,53,-8.7,31,1.01,3,1236,105,1298,2690,1007,4.051426,100,29.7,0,100,1,3,1.38,0,2,-2,2,2.4,0.6,
0.15,110,340,354,0.29,-65535,66,53,-8.6,73,1.0,2,1238,105,1300,2692,1002,7.816664,100,29.8,0,100,1,3,1.39,0,2,-2,2,2.3,0.5,
0.27,110,341,355,0.29,-65535,66,54,-8.6,17,1.0,2,1239,105,1301,2693,1000,2.4098587,100,29.8,0,100,1,3,1.39,0,2,-2,1,2.2,0.4,
0.37,110,342,356,0.29,-65535,66,54,-8.8,20,1.07,2,1240,105,1302,2694,999,2.7802854,100,29.9,0,100,1,3,1.39,0,-15,-3,-17,2.2,0.4,
0.51,110,344,358,0.29,-65535,66,55,-9.3,42,0.9,4,1241,105,1303,2695,997,4.8180594,100,29.9,0,100,1,3,1.39,0,-3,-2,-2,1.9,0.2,
0.61,110,345,359,0.29,-65535,67,55,-9.5,18,0.74,4,1242,105,1304,2696,993,2.5579014,100,30.0,0,100,1,3,1.39,0,1,-1,5,1.4,0.3,
0.72,110,347,361,0.30,-65535,67,55,-10.3,41,0.78,3,1243,105,1305,2697,992,4.8164306,100,30.1,0,100,1,3,1.39,0,-18,-2,-11,1.2,0.4,
0.86,110,348,362,0.30,-65535,67,56,-11.3,15,0.54,10,1244,105,1307,2698,989,2.4909794,100,30.1,0,100,1,3,1.39,0,-3,-9,-40,0.8,0.3,
0.96,110,350,364,0.30,-65535,67,56,-11.7,43,0.3,24,1246,105,1308,2698,986,5.1130934,100,30.2,0,100,1,3,1.39,0,15,-17,-47,0.3,0.7,
1.08,110,351,365,0.30,-65535,67,57,-11.7,14,0.45,33,1247,105,1309,2699,984,2.407151,100,30.2,0,100,1,3,1.39,0,30,-17,-40,0.9,2.0,
1.21,110,353,367,0.30,-65535,68,57,-10.8,42,1.1,27,1247,106,1322,2699,984,4.8948364,100,30.3,0,100,1,3,1.40,0,33,-10,-9,2.6,3.5,
