时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,1,1,0.00,72,80,60,-0.2,0,0.07,0,0,0,0,509,0,-0.0064025894,100,0.0,0,100,-65535,3,1.52,0,0,0,0,90.0,1.0,
0.05,110,16,16,0.01,72,81,61,0.0,0,1.0,0,3346,5,167,2798,3091,1.277798,100,22.7,0,100,-65535,3,2.22,0,0,0,0,2.8,0.1,
0.16,110,18,18,0.01,72,81,61,0.0,2,1.0,0,3357,6,201,2874,3223,4.5885715,100,22.7,0,100,-65535,3,2.20,0,0,0,0,2.8,0.1,
0.34,110,20,20,0.02,72,81,61,0.0,2,1.0,0,3354,7,234,2952,3358,3.9701333,100,22.7,0,100,-65535,3,2.18,0,0,0,0,2.8,0.1,
0.44,110,22,22,0.02,72,81,61,0.0,2,1.0,0,3345,8,267,2997,3433,3.1340451,100,22.7,0,100,-65535,3,2.17,0,0,0,0,2.8,0.1,
0.57,110,24,24,0.02,72,81,61,0.0,3,1.0,0,3330,9,299,3047,3516,5.1533275,100,22.7,0,100,-65535,3,2.16,0,0,0,0,2.8,0.1,
0.69,110,25,25,0.02,72,82,61,0.0,3,1.0,0,3310,10,331,3092,3591,4.0092087,100,22.7,0,100,-65535,3,2.14,0,0,0,0,2.8,0.1,
0.79,110,27,27,0.02,72,82,61,0.0,3,1.0,0,3295,11,361,3119,3636,3.8753972,100,22.7,0,100,-65535,3,2.13,0,0,0,0,2.8,0.1,
0.97,110,29,29,0.02,72,82,61,0.0,4,1.0,0,3267,12,391,3164,3709,5.4384546,100,22.7,0,100,-65535,3,2.12,0,0,0,0,2.8,0.1,
1.03,110,31,31,0.03,72,82,62,-0.0,3,1.0,0,3246,13,421,3192,3756,4.01787,100,22.7,0,100,-65535,3,2.11,0,0,0,0,2.8,0.1,
1.16,110,33,33,0.03,72,82,62,-0.0,5,1.0,0,3221,14,450,3223,3798,5.012015,100,22.9,0,100,-65535,3,2.10,0,0,0,0,2.8,0.1,
1.26,110,35,35,0.03,72,82,62,-0.0,4,1.0,0,3200,15,479,3246,3810,4.2772884,100,23.5,0,100,-65535,3,2.09,0,0,0,0,2.8,0.1,
1.38,110,36,36,0.03,72,82,62,-0.0,5,1.0,0,3179,16,508,3263,3831,4.717762,100,24.4,0,100,-65535,3,2.08,0,0,0,0,2.8,0.1,
1.47,110,38,38,0.03,72,83,62,0.0,5,1.0,0,3159,17,536,3275,3820,4.301181,100,25.6,0,100,-65535,3,2.07,0,0,0,0,2.8,0.1,
1.61,110,41,41,0.03,72,83,62,-0.0,5,0.99,0,3137,18,564,3281,3863,4.9342866,100,27.5,0,100,-65535,3,2.05,0,0,0,0,2.8,0.1,
1.71,110,42,42,0.03,72,83,62,-0.0,5,1.0,0,3126,19,593,3278,3904,4.2521873,100,28.7,0,100,-65535,3,2.04,0,0,0,0,2.8,0.1,
1.81,110,44,44,0.04,72,83,62,-0.0,6,1.01,0,3116,20,622,3267,3936,4.891882,100,30.3,0,100,-65535,3,2.02,0,0,0,0,2.9,0.1,
1.94,110,46,46,0.04,72,83,62,0.0,6,1.0,0,3108,22,667,3239,3943,5.0586333,100,32.7,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
2.04,110,48,48,0.04,72,83,62,0.0,6,0.99,0,3105,22,682,3218,3923,4.4617143,100,33.9,0,100,-65535,3,1.98,0,0,0,0,2.8,0.1,
2.17,110,50,50,0.04,72,83,62,0.0,8,0.99,0,3105,23,713,3176,3853,5.793467,100,35.4,0,100,-65535,3,1.96,0,0,0,0,2.8,0.0,
2.28,110,52,52,0.04,72,83,63,-0.0,5,1.0,0,3105,23,713,3144,3788,3.4203317,100,35.9,0,100,-65535,3,1.95,0,0,0,0,2.9,0.0,
2.41,110,54,54,0.04,72,84,63,0.0,8,1.0,0,3109,24,730,3110,3709,5.516942,100,35.8,0,100,-65535,3,1.94,0,0,0,0,2.9,0.0,
2.53,110,56,56,0.05,72,84,63,0.0,6,1.0,0,3116,24,747,3081,3639,3.950755,100,35.1,0,100,-65535,3,1.94,0,0,0,0,2.9,0.0,
2.63,110,57,57,0.05,72,84,63,0.0,6,1.0,0,3122,24,749,3066,3599,3.984008,100,34.4,0,100,-65535,3,1.94,0,0,0,0,2.9,0.0,
2.76,110,60,60,0.05,72,84,63,0.0,9,0.99,0,3133,25,767,3048,3543,5.251748,100,33.1,0,100,-65535,3,1.95,0,0,0,0,2.9,0.0,
2.86,110,61,61,0.05,72,84,63,-0.0,5,1.0,0,3142,25,785,3042,3514,3.1234775,100,32.2,0,100,-65535,3,1.96,0,0,0,0,2.8,0.0,
2.96,110,62,63,0.05,72,84,63,-0.0,8,0.99,0,3150,25,787,3040,3497,4.4055977,100,31.6,0,100,-65535,3,1.96,0,0,0,0,2.8,0.1,
3.09,110,65,65,0.05,72,84,63,-0.0,9,1.0,0,3162,26,821,3040,3484,5.1152363,100,30.9,0,100,-65535,3,1.98,0,0,0,0,2.8,0.1,
3.21,110,66,66,0.05,72,84,63,-0.0,7,0.99,0,3169,27,839,3042,3484,3.770878,100,30.8,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
3.31,110,68,68,0.06,72,84,63,-0.0,7,1.0,0,3174,27,857,3044,3490,3.740574,100,30.9,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
3.40,110,69,69,0.06,72,84,63,-0.0,5,1.0,0,3175,28,889,3045,3494,2.5301628,100,31.0,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
3.52,110,71,71,0.06,72,85,63,-0.0,13,1.0,0,3177,29,921,3045,3507,6.4581056,100,31.7,0,100,-65535,3,2.00,0,0,0,0,2.8,0.1,
3.63,110,72,73,0.06,72,85,63,0.0,7,1.01,0,3176,29,921,3043,3511,3.372027,100,32.0,0,100,-65535,3,2.00,0,0,0,0,2.8,0.1,
3.76,110,75,75,0.06,72,85,64,-0.0,11,0.99,0,3173,30,951,3037,3508,5.0732927,100,32.6,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
3.86,110,76,76,0.06,72,85,64,0.0,7,1.01,0,3172,31,983,3031,3501,3.101519,100,32.8,0,100,-65535,3,1.99,0,0,0,0,2.9,0.1,
3.96,110,77,78,0.06,72,85,64,0.0,9,1.01,0,3171,31,982,3026,3493,4.305349,100,32.9,0,100,-65535,3,1.99,0,0,0,0,2.9,0.1,
4.09,110,80,80,0.06,72,85,64,0.0,11,0.99,0,3169,32,1013,3018,3474,5.038166,100,32.9,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
4.19,110,81,81,0.07,72,85,64,0.0,7,0.99,0,3169,33,1030,3012,3460,3.0389802,100,32.7,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
4.33,110,83,83,0.07,72,85,64,-0.0,12,1.0,0,3171,33,1046,3008,3445,5.013554,100,32.4,0,100,-65535,3,1.99,0,0,0,0,2.9,0.1,
4.43,110,84,84,0.07,72,85,64,-0.0,7,1.01,0,3172,34,1062,3006,3435,2.9049573,100,32.2,0,100,-65535,3,1.99,0,0,0,0,2.8,0.1,
4.55,110,86,86,0.07,72,86,64,0.0,12,1.01,0,3175,34,1079,3005,3424,5.0134983,100,31.8,0,100,-65535,3,1.99,0,0,0,0,2.8,0.0,
4.66,110,88,88,0.07,72,86,64,0.0,10,0.99,0,3178,35,1096,3005,3419,3.8571315,100,31.5,0,100,-65535,3,1.99,0,0,0,0,2.8,0.0,
4.78,110,90,90,0.07,72,86,64,0.0,12,1.0,0,3181,35,1112,3006,3417,4.7469587,100,31.3,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
4.89,110,91,91,0.07,72,86,64,0.0,9,0.99,0,3183,36,1145,3008,3418,3.61066,100,31.3,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
4.99,110,93,93,0.08,72,86,64,0.0,10,1.01,0,3183,37,1162,3009,3420,3.6558566,100,31.3,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.13,110,95,95,0.08,72,86,65,0.0,11,1.01,0,3184,37,1178,3011,3423,4.1976132,100,31.4,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.22,110,96,96,0.08,72,86,65,0.0,10,0.98,0,3184,38,1210,3011,3426,3.6818855,100,31.5,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.36,110,98,98,0.08,72,86,65,-0.0,12,1.02,0,3183,39,1225,3011,3427,4.2258673,100,31.6,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.46,110,99,99,0.08,72,86,65,0.0,10,1.02,0,3183,39,1240,3010,3427,3.7311318,100,31.7,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.59,110,102,102,0.08,72,87,65,0.0,14,0.96,0,3181,40,1272,3008,3424,4.87806,100,31.8,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.69,110,103,103,0.08,72,87,65,-0.0,9,1.01,0,3181,41,1287,3007,3422,2.9444609,100,31.8,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.82,110,105,105,0.09,72,87,65,0.0,12,0.99,0,3181,41,1303,3005,3416,4.2048063,100,31.7,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
5.92,110,106,106,0.09,72,87,65,0.0,11,1.01,0,3180,42,1319,3004,3412,3.6689792,100,31.7,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
6.02,110,107,108,0.09,72,87,65,0.0,13,1.0,0,3180,42,1335,3003,3406,4.140917,100,31.6,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
6.16,110,109,109,0.09,72,87,65,-0.0,13,0.99,1,3181,43,1351,3002,3401,4.1366735,100,31.4,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
6.26,110,111,111,0.09,72,87,65,-0.0,11,1.0,0,3181,43,1367,3002,3398,3.6089213,100,31.3,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
6.39,110,113,113,0.09,72,87,65,0.0,13,1.0,0,3183,44,1399,3003,3394,4.151881,100,31.2,0,100,-65535,3,2.00,0,0,0,0,2.8,0.0,
