时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,80,81,0.07,72,176,47,0.0,0,0.98,0,0,34,0,2783,0,1.5081007E-8,100,0.0,0,100,1,3,2.41,0,72,0,-2,10.8,0.0,
0.09,110,112,112,0.09,72,180,51,-0.0,7,0.96,0,2828,46,1300,2791,3164,2.5081246,100,23.2,0,100,1,3,2.41,0,86,0,3,10.9,0.1,
0.15,110,114,114,0.09,72,180,51,-0.0,15,1.01,0,2828,46,1300,2790,3129,4.7549276,100,23.1,0,100,1,3,2.41,0,84,1,-2,10.9,0.1,
0.27,110,115,116,0.09,72,181,51,0.0,13,1.0,0,2827,46,1300,2791,3102,4.1812024,100,22.9,0,100,1,3,2.41,0,70,0,-6,10.9,0.1,
0.37,110,117,117,0.10,72,181,51,0.0,10,0.95,0,2828,47,1329,2793,3086,3.190522,100,22.8,0,100,1,3,2.41,0,70,-1,-1,10.9,0.1,
0.51,110,118,118,0.10,72,181,51,-0.0,11,0.97,0,2828,47,1329,2796,3072,3.333076,100,22.7,0,100,1,3,2.41,0,88,0,5,11.0,0.1,
0.63,110,120,120,0.10,72,181,52,-0.0,12,0.99,0,2829,47,1329,2799,3064,3.5378027,100,22.6,0,100,1,3,2.41,0,60,0,1,10.9,0.1,
0.72,110,121,121,0.10,72,181,52,0.0,9,1.03,0,2829,48,1358,2802,3061,2.6131418,100,22.6,0,100,1,3,2.41,0,53,0,-5,10.9,0.1,
0.84,110,122,122,0.10,72,182,52,0.0,12,0.96,0,2828,48,1357,2804,3063,3.5693777,100,22.7,0,100,1,3,2.41,0,82,0,-6,10.9,0.1,
0.95,110,124,124,0.10,72,182,52,-0.0,11,0.96,0,2828,49,1385,2806,3068,3.3447723,100,22.7,0,100,1,3,2.41,0,68,-1,2,11.0,0.1,
1.06,110,125,125,0.10,72,182,52,-0.0,8,1.01,0,2827,50,1413,2808,3074,2.3201838,100,22.8,0,100,1,3,2.41,0,66,0,4,11.0,0.1,
1.17,110,126,126,0.10,72,182,52,0.0,14,1.02,0,2828,50,1414,2808,3081,4.0132127,100,22.9,0,100,1,3,2.41,0,73,0,-5,10.9,0.1,
1.29,110,127,128,0.10,72,182,52,0.0,12,0.95,0,2827,51,1442,2808,3088,3.3080094,100,23.0,0,100,1,3,2.41,0,80,-1,0,10.9,0.0,
