时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,183,183,0.15,72,186,55,0.0,0,0.99,0,0,68,0,2802,0,3.401146E-8,100,0.0,0,100,1,3,2.41,0,90,0,-3,10.7,0.2,
0.06,110,208,208,0.17,101,191,59,6.6,17,1.13,0,2800,72,2016,2801,2661,1.8687341,100,26.1,0,100,1,3,2.41,0,32,2,-1,11.7,0.4,
0.17,110,208,208,0.17,104,192,59,6.8,16,1.12,0,2800,72,2016,2801,2657,1.5855516,100,26.1,0,100,1,3,2.41,0,32,2,0,11.5,0.5,
0.29,110,209,209,0.17,106,192,60,6.9,14,1.12,1,2801,72,2017,2801,2653,1.224257,100,26.1,0,100,1,3,2.41,0,31,2,0,11.4,0.5,
0.39,110,209,209,0.17,109,192,60,7.1,14,1.11,1,2800,72,2016,2801,2649,1.2082068,100,26.2,0,100,1,3,2.41,0,30,2,0,11.2,0.5,
0.52,110,210,210,0.17,34,192,60,7.3,15,1.1,1,2800,72,2016,2801,2644,1.376689,100,26.2,0,100,1,3,2.41,0,30,2,1,11.0,0.5,
0.64,110,210,210,0.17,35,192,60,7.5,16,1.09,1,2800,72,2016,2801,2641,1.381982,100,26.2,0,100,1,3,2.41,0,30,2,0,10.9,0.6,
0.74,110,210,211,0.17,36,192,60,7.6,14,1.09,1,2801,72,2016,2801,2638,1.1226954,100,26.2,0,100,1,3,2.41,0,29,1,1,10.8,0.6,
0.87,110,211,211,0.17,37,193,60,7.7,15,1.08,1,2801,73,2044,2801,2634,1.2551626,100,26.2,0,100,1,3,2.41,0,29,1,1,10.7,0.6,
0.97,110,211,212,0.17,38,193,60,7.9,14,1.08,1,2801,73,2045,2801,2631,1.0910863,100,26.2,0,100,1,3,2.41,0,28,1,1,10.6,0.6,
1.07,110,212,212,0.17,38,193,60,8.0,15,1.08,1,2801,73,2044,2801,2628,1.1862198,100,26.3,0,100,1,3,2.41,0,28,1,1,10.5,0.6,
1.21,110,212,212,0.17,39,193,61,8.1,15,1.07,1,2800,73,2044,2801,2625,1.1739413,100,26.3,0,100,1,3,2.41,0,28,1,1,10.4,0.6,
1.31,110,212,213,0.17,40,193,61,8.2,14,1.07,1,2801,73,2044,2801,2622,1.0173252,100,26.3,0,100,1,3,2.41,0,27,1,1,10.3,0.6,
1.44,110,213,213,0.17,41,193,61,8.4,15,1.06,1,2801,73,2044,2801,2619,1.1280284,100,26.3,0,100,1,3,2.41,0,27,1,1,10.2,0.7,
1.54,110,213,214,0.17,42,194,61,8.5,14,1.06,1,2801,73,2044,2801,2616,0.9656824,100,26.3,0,100,1,3,2.41,0,29,1,0,10.1,0.7,
1.67,110,214,214,0.17,43,194,61,8.6,15,1.06,1,2801,73,2044,2801,2613,1.1085829,100,26.3,0,100,1,3,2.41,0,31,1,0,10.1,0.7,
1.77,110,214,214,0.17,44,194,61,8.7,12,1.08,1,2800,73,2044,2801,2611,0.55890375,100,26.4,0,100,1,3,2.41,0,25,1,2,10.1,0.7,
1.91,110,214,215,0.17,45,194,61,8.9,15,1.08,0,2800,73,2044,2801,2608,1.0451838,100,26.4,0,100,1,3,2.41,0,24,1,2,10.1,0.7,
2.01,110,215,215,0.18,46,194,62,9.0,14,1.07,0,2801,73,2044,2801,2605,0.8717922,100,26.4,0,100,1,3,2.41,0,26,1,1,10.1,0.7,
2.14,110,215,216,0.18,47,194,62,9.1,15,1.04,1,2801,73,2044,2801,2602,0.954054,100,26.4,0,100,1,3,2.41,0,37,0,-10,10.0,0.7,
2.24,110,215,216,0.18,48,194,62,9.2,12,1.05,0,2800,73,2044,2801,2600,0.51812553,100,26.4,0,100,1,3,2.41,0,44,0,-16,10.1,0.6,
2.37,110,216,216,0.18,50,195,62,9.3,9,1.1,0,2800,73,2044,2801,2601,0.016330687,100,26.4,0,100,1,3,2.41,0,44,-1,-15,10.6,0.4,
2.47,110,216,217,0.18,51,195,62,9.5,7,1.17,0,2800,74,2072,2800,2604,-0.39545143,100,26.4,0,100,1,3,2.41,0,40,0,-6,11.2,0.2,
2.61,110,216,217,0.18,52,195,62,9.9,7,1.26,1,2800,74,2072,2800,2606,-0.5374563,100,26.4,0,100,1,3,2.41,0,28,1,17,11.9,0.0,
2.71,110,216,217,0.18,53,195,62,10.2,10,1.29,1,2800,74,2072,2799,2606,-0.09792683,100,26.4,0,100,1,3,2.41,0,19,1,15,12.1,0.1,
2.84,110,216,217,0.18,54,195,62,10.6,15,1.24,1,2800,74,2072,2799,2600,0.78454757,100,26.4,0,100,1,3,2.41,0,28,2,-4,11.9,0.0,
2.94,110,217,217,0.18,55,195,63,10.9,15,1.21,1,2801,73,2044,2800,2594,0.6449202,100,26.4,0,100,1,3,2.41,0,34,2,-7,11.6,0.0,
3.07,110,217,217,0.18,57,196,63,11.2,17,1.19,1,2800,73,2044,2800,2590,0.926106,100,26.4,0,100,1,3,2.41,0,32,2,-4,11.3,0.1,
3.17,110,217,217,0.18,58,196,63,11.4,15,1.18,0,2801,73,2044,2801,2588,0.58661944,100,26.4,0,100,1,3,2.41,0,30,2,-3,11.1,0.1,
3.27,110,217,218,0.18,59,196,63,11.6,15,1.14,0,2801,73,2044,2801,2588,0.4851055,100,26.4,0,100,1,3,2.41,0,40,3,26,10.9,0.1,
3.41,110,217,218,0.18,61,196,63,11.8,13,1.13,1,2800,74,2072,2801,2590,0.2378247,100,26.4,0,100,1,3,2.41,0,51,17,46,11.0,0.3,
3.51,110,217,218,0.18,62,196,63,12.0,8,1.16,5,2800,74,2072,2801,2595,-0.6138702,100,26.5,0,100,1,3,2.41,0,55,24,40,11.4,0.7,
3.64,110,217,218,0.18,63,196,63,12.3,3,1.29,8,2800,74,2072,2801,2604,-1.5371293,100,26.5,0,100,1,3,2.41,0,36,22,23,12.2,1.3,
3.74,110,217,218,0.18,65,197,63,12.7,5,1.34,10,2800,74,2072,2800,2609,-1.2343965,100,26.5,0,100,1,3,2.41,0,30,16,10,12.7,1.8,
3.88,110,217,218,0.18,66,197,63,13.2,8,1.33,10,2799,74,2071,2799,2610,-0.92428714,100,26.5,0,100,1,3,2.41,0,42,7,-2,13.0,2.3,
3.97,110,217,218,0.18,68,197,64,13.6,9,1.34,9,2799,74,2071,2798,2608,-0.78044504,100,26.5,0,100,1,3,2.41,0,45,0,-33,13.1,2.5,
4.08,110,217,217,0.18,69,197,64,13.9,10,1.35,8,2800,74,2072,2798,2606,-0.6903215,100,26.4,0,100,1,3,2.41,0,45,-5,-30,13.3,2.4,
4.19,110,217,217,0.18,71,197,64,14.4,10,1.38,5,2799,74,2071,2798,2604,-0.7218581,100,26.4,0,100,1,3,2.41,0,39,-7,-3,13.5,2.1,
4.29,110,216,217,0.18,72,197,64,14.8,12,1.4,3,2799,74,2071,2798,2602,-0.45063823,100,26.4,0,100,1,3,2.41,0,29,-7,16,13.5,1.9,
4.42,110,216,217,0.18,74,197,64,15.4,16,1.34,1,2799,73,2043,2799,2599,0.14927034,100,26.4,0,100,1,3,2.41,0,33,-7,21,13.1,1.6,
4.54,110,216,216,0.18,76,198,64,15.7,17,1.29,0,2799,73,2043,2800,2597,0.27462503,100,26.4,0,100,1,3,2.41,0,37,-6,9,12.7,1.5,
4.64,110,215,216,0.18,78,198,64,16.0,17,1.26,1,2799,73,2043,2801,2597,0.1590793,100,26.4,0,100,1,3,2.41,0,36,-6,4,12.3,1.4,
4.77,110,215,216,0.18,80,198,64,16.4,17,1.22,2,2799,73,2043,2801,2601,0.034108717,100,26.4,0,100,1,3,2.41,0,33,-6,5,11.9,1.3,
4.93,110,215,216,0.18,81,198,64,16.6,16,1.21,2,2799,73,2043,2802,2604,-0.03049143,100,26.4,0,100,1,3,2.41,0,32,-5,5,11.7,1.2,
5.04,110,215,216,0.18,83,198,65,16.8,16,1.19,2,2799,73,2043,2802,2606,-0.050556272,100,26.4,0,100,1,3,2.41,0,31,-5,5,11.5,1.2,
5.10,110,215,215,0.18,84,198,65,16.9,17,1.17,2,2799,73,2043,2802,2608,-0.056312196,100,26.4,0,100,1,3,2.41,0,31,-5,4,11.3,1.1,
5.22,110,214,215,0.18,86,198,65,17.2,16,1.14,2,2799,73,2043,2801,2611,-0.19333307,100,26.4,0,100,1,3,2.41,0,30,-5,3,11.0,1.1,
5.32,110,214,215,0.18,88,199,65,17.4,16,1.12,2,2799,73,2043,2800,2611,-0.2159718,100,26.4,0,100,1,3,2.41,0,29,-4,3,10.8,1.0,
5.46,110,214,215,0.17,91,199,65,17.6,16,1.1,2,2799,73,2043,2800,2611,-0.30324838,100,26.4,0,100,1,3,2.41,0,28,-4,2,10.5,1.0,
5.56,110,214,215,0.17,92,199,65,17.7,16,1.09,2,2798,73,2042,2799,2609,-0.2726518,100,26.4,0,100,1,3,2.41,0,27,-4,2,10.4,1.0,
5.69,110,213,214,0.17,95,199,65,17.8,16,1.07,2,2798,73,2042,2799,2608,-0.3485117,100,26.4,0,100,1,3,2.41,0,27,-4,2,10.2,0.9,
5.80,110,213,214,0.17,97,199,65,17.9,16,1.06,2,2798,73,2042,2799,2606,-0.33031642,100,26.4,0,100,1,3,2.41,0,26,-3,2,10.1,0.9,
5.91,110,213,214,0.17,99,199,65,18.0,15,1.05,2,2798,73,2042,2799,2606,-0.44255963,100,26.4,0,100,1,3,2.41,0,26,-3,2,9.9,0.9,
6.02,110,213,214,0.17,101,200,66,18.1,16,1.04,2,2797,73,2042,2799,2606,-0.3655062,100,26.4,0,100,1,3,2.41,0,26,-3,2,9.8,0.8,
6.14,110,212,213,0.17,103,200,66,18.2,16,1.03,2,2797,73,2042,2800,2607,-0.40658465,100,26.4,0,100,1,3,2.41,0,25,-3,2,9.7,0.8,
6.24,110,212,213,0.17,105,200,66,18.3,16,1.02,2,2798,73,2043,2800,2608,-0.46768743,100,26.4,0,100,1,3,2.41,0,25,-3,1,9.6,0.8,
6.35,110,212,213,0.17,106,200,66,18.3,16,1.01,2,2798,73,2043,2800,2610,-0.37470192,100,26.4,0,100,1,3,2.41,0,24,-2,1,9.5,0.8,
6.44,110,212,213,0.17,108,200,66,18.4,16,1.0,2,2797,73,2042,2800,2611,-0.43599546,100,26.4,0,100,1,3,2.41,0,24,-2,1,9.5,0.8,
6.58,110,211,213,0.17,111,200,66,18.4,15,0.99,2,2798,73,2042,2800,2614,-0.51127774,100,26.4,0,100,1,3,2.41,0,24,-2,1,9.4,0.7,
6.68,110,211,212,0.17,112,200,66,18.4,16,0.99,2,2798,73,2042,2800,2615,-0.38426432,100,26.4,0,100,1,3,2.41,0,24,-2,1,9.3,0.7,
6.78,110,211,212,0.17,114,200,66,18.5,16,0.98,1,2797,72,2014,2800,2616,-0.48085374,100,26.4,0,100,1,3,2.41,0,23,-2,0,9.3,0.7,
6.90,110,211,212,0.17,117,201,66,18.5,16,0.97,1,2797,72,2014,2800,2617,-0.50077206,100,26.4,0,100,1,3,2.41,0,23,-2,0,9.2,0.7,
7.03,110,211,212,0.17,119,201,66,18.5,16,0.97,1,2797,72,2014,2800,2618,-0.5021259,100,26.4,0,100,1,3,2.41,0,23,-2,0,9.2,0.7,
7.12,110,210,212,0.17,121,201,67,18.5,16,0.97,1,2797,72,2014,2800,2618,-0.36503506,100,26.4,0,100,1,3,2.41,0,23,-2,0,9.2,0.7,
7.24,110,210,211,0.17,123,201,67,18.5,15,0.96,1,2797,72,2014,2800,2619,-0.5403988,100,26.4,0,100,1,3,2.41,0,23,-1,0,9.1,0.6,
7.35,110,210,211,0.17,125,201,67,18.5,16,0.96,1,2797,72,2014,2800,2619,-0.4703733,100,26.4,0,100,1,3,2.41,0,23,-1,-1,9.1,0.6,
7.46,110,210,211,0.17,127,201,67,18.5,15,0.95,1,2796,72,2013,2800,2620,-0.5447988,100,26.4,0,100,1,3,2.41,0,23,-1,0,9.1,0.6,
7.56,110,210,211,0.17,129,201,67,18.5,16,0.95,1,2796,72,2013,2800,2621,-0.4482339,100,26.3,0,100,1,3,2.41,0,22,-1,0,9.0,0.6,
7.66,110,209,211,0.17,131,202,67,18.5,16,0.95,1,2797,72,2014,2800,2621,-0.45347,100,26.3,0,100,1,3,2.41,0,22,-1,-1,9.0,0.5,
7.80,110,209,210,0.17,133,202,67,18.5,15,0.94,1,2797,72,2013,2800,2622,-0.5122031,100,26.3,0,100,1,3,2.41,0,22,-1,0,9.0,0.5,
7.87,110,209,210,0.17,135,202,67,18.5,16,0.94,1,2796,72,2013,2800,2623,-0.37390047,100,26.3,0,100,1,3,2.41,0,22,-1,-1,9.0,0.5,
8.02,110,209,210,0.17,137,202,67,18.5,16,0.94,1,2797,72,2013,2800,2625,-0.5074287,100,26.3,0,100,1,3,2.41,0,22,-1,-1,9.0,0.5,
8.11,110,209,210,0.17,139,202,67,18.5,16,0.94,1,2797,72,2013,2800,2626,-0.43511072,100,26.3,0,100,1,3,2.41,0,22,-1,-1,9.0,0.4,
8.21,110,208,210,0.17,141,202,68,18.5,16,0.93,1,2796,72,2013,2800,2627,-0.4100524,100,26.3,0,100,1,3,2.41,0,23,-1,-1,9.0,0.4,
8.35,110,208,210,0.17,143,202,68,18.5,16,0.93,1,2796,72,2013,2800,2628,-0.50734085,100,26.3,0,100,1,3,2.41,0,22,0,-2,9.0,0.4,
8.42,110,208,209,0.17,145,203,68,18.4,16,0.93,1,2795,72,2012,2800,2629,-0.35241613,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
8.54,110,208,209,0.17,147,203,68,18.4,16,0.93,1,2795,72,2012,2800,2629,-0.46046442,100,26.3,0,100,1,3,2.41,0,23,0,-1,9.0,0.4,
8.67,110,208,209,0.17,149,203,68,18.4,16,0.93,1,2795,72,2012,2800,2630,-0.4643872,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
8.78,110,208,209,0.17,151,203,68,18.4,16,0.93,1,2795,72,2013,2800,2630,-0.39213338,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
8.89,110,207,209,0.17,154,203,68,18.4,16,0.93,1,2795,72,2012,2800,2631,-0.48266813,100,26.3,0,100,1,3,2.41,0,23,0,-1,9.0,0.4,
8.99,110,207,209,0.17,156,203,68,18.3,16,0.93,1,2795,72,2012,2800,2632,-0.38815895,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
9.12,110,207,209,0.17,158,203,68,18.3,16,0.93,1,2795,72,2012,2800,2633,-0.42569304,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
9.22,110,207,208,0.17,160,204,69,18.3,16,0.93,1,2795,72,2013,2800,2634,-0.3640113,100,26.3,0,100,1,3,2.41,0,22,0,-1,9.0,0.4,
9.32,110,207,208,0.17,162,204,69,18.3,16,0.94,1,2795,72,2012,2800,2634,-0.3985312,100,26.3,0,100,1,3,2.41,0,16,0,6,9.0,0.4,
9.45,110,207,208,0.17,164,204,69,18.3,17,0.95,1,2795,72,2012,2800,2635,-0.17453499,100,26.3,0,100,1,3,2.41,0,7,1,11,8.9,0.4,
9.56,110,206,208,0.17,166,204,69,18.2,19,0.91,0,2795,72,2012,2800,2633,0.20004939,100,26.3,0,100,1,3,2.41,0,2,1,9,8.5,0.5,
9.65,110,206,208,0.17,168,204,69,18.2,21,0.85,0,2795,72,2012,2800,2631,0.51986957,100,26.3,0,100,1,3,2.41,0,5,1,-2,7.9,0.7,
9.79,110,206,208,0.17,170,204,69,18.0,22,0.77,0,2795,71,1984,2801,2628,0.61789566,100,26.3,0,100,1,3,2.41,0,12,0,-13,7.1,0.8,
9.89,110,206,208,0.17,172,204,69,17.8,20,0.7,0,2795,71,1984,2801,2627,0.43354157,100,26.3,0,100,1,3,2.41,0,23,0,-5,6.6,0.8,
9.99,110,206,208,0.17,173,204,69,17.5,19,0.68,0,2795,71,1984,2801,2627,0.18484506,100,26.3,0,100,1,3,2.41,0,30,0,2,6.4,0.8,
10.12,110,206,208,0.17,176,205,69,17.3,16,0.72,0,2795,71,1984,2801,2630,-0.13850191,100,26.3,0,100,1,3,2.41,0,21,0,3,6.6,0.8,
