时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,1,1,0.00,71,80,60,-0.2,0,-0.01,0,0,0,0,511,0,-0.0012565636,100,0.0,0,-65535,2,3,1.61,0,0,0,0,90.0,0.8,
0.05,110,51,51,0.04,71,81,61,0.0,3,0.99,0,1884,27,508,2951,2759,3.9338584,100,24.1,0,-65535,1,3,2.54,0,0,0,-10,11.0,0.2,
0.17,110,54,54,0.04,71,81,62,0.0,13,0.97,0,1888,30,566,2981,2824,8.81825,100,24.3,0,-65535,1,3,2.54,0,0,0,-10,11.0,0.2,
0.28,110,57,57,0.05,71,81,62,0.0,10,0.99,0,1880,32,601,2989,2891,6.5881104,100,24.9,0,-65535,1,3,2.53,0,0,0,-10,11.0,0.2,
0.38,110,59,59,0.05,71,81,62,0.0,9,0.99,0,1874,34,637,2985,2909,5.4507957,100,25.2,0,-65535,1,3,2.53,0,0,0,-10,11.0,0.2,
0.51,110,62,62,0.05,71,81,62,0.0,9,0.98,0,1866,35,653,2977,2902,5.318674,100,25.3,0,-65535,1,3,2.52,0,0,0,-10,11.0,0.2,
0.61,110,64,64,0.05,71,82,62,0.0,10,0.98,0,1861,36,669,2969,2866,5.7399716,100,25.2,0,-65535,1,3,2.51,0,0,0,-10,11.0,0.1,
0.72,110,66,66,0.05,71,82,62,0.0,11,0.98,0,1858,37,687,2965,2814,5.971908,100,24.8,0,-65535,1,3,2.51,0,0,0,-10,11.0,0.1,
0.82,110,68,68,0.06,71,82,62,0.0,10,0.98,0,1860,37,688,2966,2759,5.1920853,100,24.3,0,-65535,1,3,2.51,0,0,0,-10,11.0,0.1,
0.94,110,71,71,0.06,71,82,62,0.0,13,0.97,0,1864,38,708,2975,2711,6.9093046,100,23.8,0,-65535,1,3,2.51,0,0,0,-10,11.0,0.1,
