时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,0,0,0.00,72,80,60,-0.1,0,0.5,0,0,0,0,485,0,0.0,-65535,0.0,0,100,-65535,3,1.10,0,0,0,0,90.0,3.6,
0.05,110,3,3,0.00,72,79,59,0.0,0,1.03,0,410,1,4,1378,531,0.21726075,-65535,24.5,0,100,-65535,3,1.54,0,0,0,0,3.0,0.2,
0.16,110,3,3,0.00,72,79,60,0.0,0,1.03,0,484,1,4,1429,570,1.1498415,-65535,24.5,0,100,-65535,3,1.57,0,0,0,0,3.1,0.2,
0.26,110,4,4,0.00,72,79,60,-0.0,0,0.96,0,437,2,8,1469,604,0.81588286,-65535,24.5,0,100,-65535,3,1.61,0,0,0,0,2.5,0.2,
0.39,110,4,4,0.00,72,79,60,-0.0,0,0.96,0,611,2,12,1531,653,1.4602244,-65535,24.5,0,100,-65535,3,1.65,0,0,0,0,2.5,0.1,
0.50,110,5,5,0.00,72,79,60,0.0,0,1.04,0,654,2,13,1584,699,1.2504916,-65535,24.5,0,100,-65535,3,1.70,0,0,0,0,2.9,0.1,
0.60,110,5,5,0.00,72,79,60,-0.0,0,0.97,0,779,2,15,1640,748,1.1715641,-65535,24.5,0,100,-65535,3,1.74,0,0,0,0,2.5,0.1,
0.73,110,6,6,0.00,72,79,60,-0.0,0,0.99,0,879,2,17,1721,822,1.8444129,-65535,24.5,0,100,-65535,3,1.81,0,0,0,0,2.7,0.1,
0.83,110,7,7,0.01,72,79,60,0.0,0,1.0,0,788,3,23,1778,880,1.6112187,-65535,24.5,0,100,-65535,3,1.87,0,0,0,0,2.7,0.1,
0.96,110,7,7,0.01,72,79,60,0.0,0,1.0,0,932,3,27,1841,941,1.9248326,-65535,24.5,0,100,-65535,3,1.93,0,0,0,0,2.7,0.1,
1.06,110,8,8,0.01,72,79,60,0.0,0,1.0,0,931,3,27,1903,1006,1.8385628,-65535,24.5,0,100,-65535,3,1.99,0,0,0,0,2.7,0.1,
1.19,110,9,9,0.01,72,80,60,0.0,1,1.0,0,1145,3,34,1979,1084,2.2984192,-65535,24.5,0,100,-65535,3,2.07,0,0,0,0,2.7,0.1,
1.31,110,10,10,0.01,72,80,60,0.0,1,1.0,0,1144,4,45,2059,1172,2.644307,-65535,24.5,0,100,-65535,3,2.15,0,0,0,0,2.7,0.1,
1.41,110,11,11,0.01,72,80,60,0.0,1,1.0,0,1245,4,49,2123,1244,2.36601,-65535,24.5,0,100,-65535,3,2.23,0,0,0,0,2.7,0.1,
1.54,110,12,12,0.01,72,80,60,0.0,1,1.0,0,1389,4,55,2203,1335,2.9110494,-65535,24.5,0,100,-65535,3,2.32,0,0,0,0,2.7,0.1,
1.67,110,14,14,0.01,72,80,60,0.0,1,1.0,0,1474,5,73,2284,1429,3.295257,-65535,24.5,0,100,-65535,3,2.41,0,0,0,0,2.7,0.0,
1.76,110,15,15,0.01,72,80,60,0.0,1,1.0,0,1556,5,77,2349,1508,2.6357589,-65535,24.5,0,100,-65535,3,2.49,0,0,0,0,2.7,0.0,
