时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,0,1,1,0.00,234,80,60,-0.3,0,-0.0,0,0,0,0,465,0,6.7686604E-4,0,0.0,0,100,2,3,1.09,0,0,0,0,79.5,2.7,
0.05,110,16,16,0.01,234,81,61,0.0,0,0.98,0,1983,6,119,3128,2048,1.2371441,100,23.0,0,100,1,3,2.73,0,4,0,-7,11.0,0.2,
0.17,110,18,18,0.01,234,81,61,0.0,3,0.98,0,1986,7,139,3194,2134,6.109084,100,23.0,0,100,1,3,2.75,0,20,0,-7,11.0,0.1,
0.27,110,20,20,0.02,234,82,61,0.0,2,0.98,0,1980,8,158,3240,2195,4.0482316,100,23.0,0,100,1,3,2.77,0,32,0,-7,11.1,0.1,
0.38,110,22,23,0.02,234,82,61,0.0,5,0.98,0,1960,10,196,3298,2273,7.4136395,100,23.0,0,100,1,3,2.77,0,31,0,-7,11.1,0.1,
0.48,110,25,25,0.02,234,82,61,0.0,4,0.98,0,1940,11,213,3337,2327,5.39365,100,23.0,0,100,1,3,2.77,0,28,0,-7,11.1,0.1,
0.62,110,28,28,0.02,234,82,62,0.0,5,0.98,0,1915,13,249,3375,2380,6.383808,100,23.0,0,100,1,3,2.77,0,18,0,-7,11.2,0.0,
0.73,110,30,30,0.02,234,82,62,-0.0,5,0.98,0,1896,14,265,3397,2437,5.6195254,100,23.6,0,100,1,3,2.76,0,34,0,-7,11.2,0.0,
0.83,110,32,33,0.03,234,83,62,0.0,5,0.98,0,1880,16,300,3407,2492,6.1369553,100,24.7,0,100,1,3,2.75,0,16,0,-7,11.3,0.0,
0.96,110,35,36,0.03,234,83,62,0.0,7,0.98,0,1868,17,317,3401,2501,6.927483,100,26.6,0,100,1,3,2.73,0,7,0,-6,11.2,0.0,
1.07,110,38,38,0.03,234,83,62,0.0,6,0.98,0,1867,18,336,3383,2439,6.0205545,100,28.4,0,100,1,3,2.72,0,5,0,-6,11.2,0.0,
1.18,110,41,41,0.03,234,83,62,0.0,7,0.98,0,1870,18,336,3345,2293,6.1819763,100,30.7,0,100,1,3,2.69,0,-28,0,-5,11.2,0.0,
1.28,110,42,43,0.03,234,83,62,-0.0,6,0.98,0,1875,18,337,3311,2196,5.3159947,100,31.8,0,100,1,3,2.68,0,13,0,-6,11.2,0.0,
1.42,110,45,45,0.04,234,84,63,0.0,7,0.98,0,1888,18,339,3254,2099,5.7248106,100,32.2,0,100,1,3,2.66,0,14,0,-6,11.3,0.0,
1.52,110,47,47,0.04,234,84,63,0.0,6,0.98,0,1896,19,360,3228,2079,4.8363085,100,32.0,0,100,1,3,2.66,0,5,0,-7,11.3,0.0,
1.62,110,49,49,0.04,234,84,63,0.0,7,0.98,0,1904,19,361,3203,2068,5.3462887,100,31.7,0,100,1,3,2.66,0,-1,0,-6,11.3,0.0,
1.75,110,51,51,0.04,234,84,63,0.0,8,0.98,0,1913,20,382,3181,2049,5.435864,100,31.7,0,100,1,3,2.66,0,38,0,-6,11.3,0.0,
1.85,110,53,53,0.04,234,84,63,-0.0,6,0.97,0,1919,21,403,3165,2022,3.8618913,100,32.1,0,100,1,3,2.66,0,16,0,-6,11.3,0.0,
1.95,110,55,55,0.04,234,84,63,-0.0,8,0.97,0,1924,21,404,3151,1996,5.208034,100,32.4,0,100,1,3,2.66,0,2,0,-7,11.3,0.0,
2.09,110,57,58,0.05,234,84,63,0.0,8,0.99,0,1930,21,405,3128,1955,5.2953396,100,32.9,0,100,1,3,2.67,0,-8,0,-7,11.3,0.0,
2.25,110,60,61,0.05,234,85,64,0.0,8,0.98,0,1936,22,425,3105,1925,4.9815626,100,33.1,0,100,1,3,2.67,0,4,0,-7,11.3,0.0,
2.35,110,62,62,0.05,234,85,64,0.0,7,0.98,0,1939,22,426,3095,1917,4.3326335,100,33.1,0,100,1,3,2.67,0,4,0,-7,11.3,0.0,
2.48,110,64,65,0.05,234,85,64,0.0,11,0.98,0,1943,23,447,3081,1905,5.91181,100,33.2,0,100,1,3,2.67,0,11,0,-6,11.3,0.0,
2.58,110,66,66,0.05,234,85,64,0.0,6,0.98,0,1946,24,467,3072,1897,3.4841352,100,33.3,0,100,1,3,2.68,0,11,0,-7,11.3,0.0,
2.72,110,68,69,0.06,234,85,64,0.0,11,0.97,0,1949,24,467,3063,1888,5.748852,100,33.4,0,100,1,3,2.68,0,29,0,-6,11.4,0.0,
2.82,110,70,70,0.06,234,86,64,0.0,9,0.98,0,1951,25,487,3056,1881,4.774879,100,33.5,0,100,1,3,2.68,0,27,0,-6,11.4,0.0,
2.91,110,72,72,0.06,234,86,64,0.0,7,0.97,0,1952,25,488,3050,1875,3.4957747,100,33.5,0,100,1,3,2.68,0,9,0,-7,11.4,0.0,
3.05,110,74,74,0.06,234,86,64,-0.0,11,0.99,0,1954,26,508,3043,1871,5.62493,100,33.6,0,100,1,3,2.69,0,17,0,-7,11.4,0.0,
3.15,110,76,76,0.06,234,86,65,0.0,9,0.97,0,1955,27,528,3038,1870,4.2211967,100,33.6,0,100,1,3,2.69,0,-1,0,-7,11.4,0.0,
3.28,110,78,78,0.06,234,86,65,-0.0,10,0.99,0,1954,27,527,3033,1869,4.8396163,100,33.6,0,100,1,3,2.68,0,19,0,-6,11.4,0.0,
3.38,110,80,80,0.07,234,86,65,0.0,9,0.98,0,1952,28,546,3029,1870,4.207561,100,33.6,0,100,1,3,2.68,0,-5,0,-7,11.4,0.0,
3.52,110,82,82,0.07,234,86,65,0.0,11,0.99,0,1951,29,565,3024,1872,4.8329167,100,33.6,0,100,1,3,2.68,0,43,0,-6,11.4,0.0,
