时间/s,节流阀/%,表　速/kph,真空速/kph,马赫数/Ma,高　度/m,温　度/℃,油　温/℃,爬升率/m/s,ＳＥＰ*/m/s,过　载/G,滚转率/deg/s,功　率/bhp,桨效率/%,轴功率*/bhp,转　速/rpm,推　力/kg,加速度*/m/s^2,桨　距/%,桨距角/deg,散热器/%,混合比/%,增压器/档,磁电机/档,进气压/ata,襟　翼/%,升降舵/%,滚转舵/%,方向舵/%,攻　角/deg,侧滑角/deg,
0.00,110,302,344,0.29,2594,105,97,20.6,21,0.98,0,0,84,0,2700,0,6.492991E-8,100,0.0,0,-65535,-65535,3,2.00,0,17,0,0,3.7,0.0,
0.05,110,302,345,0.29,2668,106,98,21.9,22,1.02,1,2295,84,1927,2700,1529,0.0017112232,100,37.6,0,-65535,-65535,3,2.00,0,16,3,3,4.0,1.1,
0.15,110,302,345,0.29,2670,107,98,21.9,22,1.02,1,2294,84,1927,2700,1528,-0.03264276,100,37.6,0,-65535,-65535,3,2.00,0,16,3,4,3.9,1.1,
0.28,110,302,345,0.29,2674,107,98,22.0,22,1.0,1,2294,84,1927,2700,1528,-0.018383533,100,37.6,0,-65535,-65535,3,2.00,0,23,2,-29,3.9,0.9,
0.38,110,302,345,0.29,2676,107,98,22.0,21,1.01,0,2294,84,1927,2700,1528,-0.10809023,100,37.6,0,-65535,-65535,3,2.00,0,21,2,-19,3.9,1.0,
0.50,110,302,345,0.29,2678,107,98,22.1,20,1.03,1,2294,84,1927,2700,1528,-0.22160313,100,37.6,0,-65535,-65535,3,2.00,0,15,2,-11,4.0,1.1,
0.60,110,302,345,0.29,2681,107,98,22.1,21,1.03,1,2293,84,1926,2700,1528,-0.12044194,100,37.6,0,-65535,-65535,3,2.00,0,15,2,-6,4.0,1.2,
0.72,110,302,345,0.29,2683,107,98,22.2,21,1.02,1,2293,84,1926,2700,1528,-0.10228129,100,37.6,0,-65535,-65535,3,2.00,0,17,3,2,4.0,1.3,
0.82,110,302,345,0.29,2685,107,98,22.2,22,1.02,1,2293,84,1926,2700,1528,-0.04289041,100,37.6,0,-65535,-65535,3,2.00,0,18,4,-3,4.0,1.2,
0.93,110,302,345,0.29,2688,107,98,22.2,22,1.01,1,2293,84,1926,2700,1528,-0.056310255,100,37.6,0,-65535,-65535,3,2.00,0,17,4,-11,3.9,1.1,
1.03,110,302,345,0.29,2690,107,98,22.3,22,1.01,0,2293,84,1926,2700,1528,-0.062362332,100,37.6,0,-65535,-65535,3,2.00,0,17,3,-9,3.9,1.1,
1.17,110,302,345,0.29,2693,107,98,22.3,21,1.0,0,2292,84,1926,2700,1527,-0.09434745,100,37.6,0,-65535,-65535,3,2.00,0,18,9,29,3.9,1.0,
1.27,110,302,345,0.29,2695,107,98,22.3,22,1.0,3,2292,84,1925,2700,1527,-0.065956645,100,37.6,0,-65535,-65535,3,2.00,0,17,14,31,3.9,0.7,
1.38,110,302,345,0.29,2698,107,98,22.3,21,0.98,6,2292,84,1925,2700,1527,-0.16756359,100,37.6,0,-65535,-65535,3,2.00,0,31,9,6,3.8,0.0,
1.48,110,302,345,0.29,2700,107,98,22.4,19,1.0,7,2292,84,1925,2700,1527,-0.35681313,100,37.6,0,-65535,-65535,3,2.00,0,29,4,-28,4.0,0.4,
1.60,110,302,345,0.29,2703,107,98,22.5,17,1.08,8,2292,84,1925,2700,1528,-0.51487994,100,37.6,0,-65535,-65535,3,2.00,0,10,-1,-28,4.2,0.6,
1.73,110,302,345,0.29,2706,107,98,22.6,19,1.08,6,2291,84,1925,2700,1528,-0.33434594,100,37.6,0,-65535,-65535,3,2.00,0,12,-2,5,4.3,0.6,
1.83,110,301,345,0.29,2708,107,99,22.7,21,1.04,5,2291,84,1924,2700,1528,-0.1931702,100,37.6,0,-65535,-65535,3,2.00,0,23,-2,4,4.2,0.5,
1.96,110,301,345,0.29,2711,107,99,22.8,19,1.04,3,2291,84,1924,2700,1528,-0.4008108,100,37.6,0,-65535,-65535,3,2.00,0,27,-4,-11,4.3,0.4,
2.05,110,301,345,0.29,2713,107,99,22.8,18,1.05,2,2291,84,1924,2700,1528,-0.53717166,100,37.6,0,-65535,-65535,3,2.00,0,41,0,35,4.4,0.2,
2.15,110,301,345,0.29,2715,107,99,22.9,16,1.12,2,2290,85,1947,2700,1529,-0.69633365,100,37.6,0,-65535,-65535,3,2.00,0,40,2,28,4.9,0.3,
2.25,110,301,345,0.29,2718,108,99,23.1,10,1.19,2,2290,85,1946,2700,1530,-1.3144689,100,37.6,0,-65535,-65535,3,2.00,0,40,1,4,5.3,0.5,
2.38,110,301,344,0.29,2720,108,99,23.5,7,1.36,3,2289,85,1946,2699,1534,-1.6903001,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,-15,6.3,0.7,
2.48,110,301,344,0.29,2723,108,99,23.9,12,1.45,2,2289,85,1946,2699,1535,-1.2320762,100,37.6,0,-65535,-65535,3,2.00,0,-4,-2,-1,6.7,0.6,
2.62,110,300,344,0.29,2726,108,99,24.5,20,1.41,2,2289,85,1945,2699,1535,-0.48579198,100,37.6,0,-65535,-65535,3,2.00,0,6,-2,12,6.6,0.6,
2.72,110,300,344,0.29,2729,108,99,24.9,25,1.32,1,2289,85,1945,2699,1533,0.007835499,100,37.6,0,-65535,-65535,3,2.00,0,24,-2,0,6.2,0.6,
2.85,110,300,344,0.29,2732,108,99,25.3,24,1.27,1,2289,84,1922,2699,1532,-0.14624363,100,37.6,0,-65535,-65535,3,2.00,0,26,-3,0,5.9,0.6,
2.95,110,300,343,0.29,2735,108,99,25.5,23,1.25,0,2289,84,1922,2699,1531,-0.29634425,100,37.6,0,-65535,-65535,3,2.00,0,21,-3,4,5.7,0.5,
3.05,110,300,343,0.29,2737,108,99,25.8,23,1.24,0,2288,84,1922,2699,1531,-0.3165059,100,37.6,0,-65535,-65535,3,2.00,0,18,-2,5,5.6,0.5,
3.15,110,299,343,0.29,2740,108,99,26.1,22,1.21,0,2288,84,1922,2699,1531,-0.37209487,100,37.6,0,-65535,-65535,3,2.00,0,19,-2,4,5.5,0.4,
3.28,110,299,343,0.29,2743,108,99,26.3,22,1.18,1,2288,84,1922,2699,1531,-0.45379716,100,37.6,0,-65535,-65535,3,2.00,0,20,-2,3,5.3,0.4,
3.40,110,299,343,0.29,2746,108,99,26.5,22,1.16,1,2288,84,1922,2700,1531,-0.41855246,100,37.6,0,-65535,-65535,3,2.00,0,19,-2,3,5.1,0.4,
3.50,110,299,342,0.29,2749,108,99,26.7,23,1.15,1,2288,84,1922,2700,1531,-0.42617396,100,37.6,0,-65535,-65535,3,2.00,0,19,-2,2,5.0,0.3,
3.60,110,298,342,0.29,2752,108,99,26.9,22,1.12,1,2287,84,1921,2700,1532,-0.540524,100,37.6,0,-65535,-65535,3,2.00,0,19,-2,2,4.9,0.3,
3.73,110,298,342,0.29,2755,108,99,27.0,21,1.11,1,2287,84,1921,2700,1532,-0.5752615,100,37.6,0,-65535,-65535,3,2.00,0,19,-2,2,4.8,0.3,
3.84,110,298,342,0.29,2758,108,99,27.1,22,1.09,1,2287,84,1921,2701,1533,-0.5442975,100,37.6,0,-65535,-65535,3,2.00,0,19,-1,2,4.7,0.3,
3.93,110,298,342,0.29,2761,108,99,27.2,21,1.08,1,2286,84,1920,2701,1534,-0.5923437,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,2,4.6,0.2,
4.07,110,297,341,0.29,2764,108,99,27.4,21,1.06,1,2286,84,1920,2701,1535,-0.673896,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,1,4.5,0.2,
4.17,110,297,341,0.29,2767,108,99,27.4,22,1.05,1,2286,84,1920,2701,1536,-0.5885407,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,2,4.4,0.2,
4.28,110,297,341,0.29,2770,108,99,27.5,21,1.04,1,2285,84,1920,2701,1537,-0.676393,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,1,4.4,0.2,
4.42,110,297,341,0.29,2774,108,99,27.6,21,1.03,1,2285,84,1919,2701,1538,-0.7037434,100,37.6,0,-65535,-65535,3,2.00,0,18,-1,1,4.3,0.2,
